date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
2020-03-11,130.39,131.65,127.36,130.27,3591655,38131,129.862851,130.34,False,False,100.0
2020-03-12,123.17,127.34,119.92,120.28,5344299,55442,122.245674,125.1,False,False,347.0
2020-03-13,124.33,125.78,117.29,125.48,4073441,51367,121.873471,123.0,False,True,150.0
2020-03-16,113.95,119.92,106.4,107.04,4364756,49491,111.71943,117.0,False,False,395.0
2020-03-17,110.15,118.08,107.15,111.05,5299641,58569,111.916559,109.89,False,True,110.0
2020-03-18,104.89,110.03,96.024,105.82,5218324,55819,102.366103,105.0,False,True,200.0
2020-03-19,104.75,112.89,100.74,102.33,4492883,44284,104.495367,105.82,False,False,9575.0
2020-03-20,101.98,106.47,98.53,100.94,6662727,48907,102.18921,102.33,False,False,8546.0
2020-03-23,99.06,101.04,90.14,92.66,5405996,57881,93.555622,99.0,False,False,100.0
2020-03-24,99.61,105.221,97.5,103.76,4732571,49709,101.613723,99.02,False,True,416.0
2020-03-25,102.65,112.99,100.52,108.21,4424869,46505,108.358114,103.04,False,True,200.0
2020-03-26,109.51,118.69,109.51,117.91,4159038,40762,116.059514,107.64,False,True,150.0
2020-03-27,114.52,117.78,111.04,111.77,2870096,33358,113.758702,113.22,True,False,503.0
2020-03-30,113.63,117.75,112.43,116.68,2031899,26877,115.747632,111.34,False,True,100.0
2020-03-31,115.68,120.25,113.9,117.69,3956055,43379,117.396682,117.0,False,True,100.0
2020-04-01,113.93,115.355,110.7474,111.92,2521032,31715,112.693496,113.89,False,False,101.0
2020-04-02,111.25,116.3,110.87,116.03,2404140,27754,113.771302,111.92,False,True,2349.0
2020-04-03,115.08,117.23,113.7201,114.61,1702210,20797,115.031131,116.59,True,False,78536.0
2020-04-06,119.58,127.46,117.9,126.79,3420065,35197,125.032842,118.72,False,True,180.0
2020-04-07,129.02,130.88,126.02,126.11,3075632,35958,128.165311,133.4899,False,False,350.0
2020-04-08,126.36,127.99,122.2531,127.25,2478486,32756,125.8984,126.2,False,True,580.0
2020-04-09,126.44,131.15,126.44,128.75,1962328,25619,128.762377,126.3,False,True,1100.0
2020-04-13,128.01,128.82,122.11,122.95,3188929,32353,123.510608,126.965,False,False,162108.0
2020-04-14,126.42,128.94,124.18,127.82,2509312,28847,127.072238,126.88,True,True,2641.0
2020-04-15,125.42,126.12,123.08,123.81,2263320,29198,123.965064,125.32,False,False,141.0
2020-04-16,125.22,128.05,123.98,127.45,2064003,23908,126.639115,125.4,True,True,613.0
2020-04-17,129.61,131.54,128.614,130.72,1977580,22033,129.930552,129.74,False,True,1448.0
2020-04-20,128.72,129.14,127.23,127.39,2418781,17731,127.78791,127.88,False,False,141265.0
2020-04-21,125.79,126.05,123.575,124.7,2607803,25999,124.765153,126.59,True,False,800.0
2020-04-22,126.53,127.48,125.55,125.81,1943726,21075,126.373269,126.24,False,False,400.0
2020-04-23,126.25,126.62,123.41,123.64,3265759,33698,124.813591,125.81,False,False,786.0
2020-04-24,124.6,126.85,122.66,125.91,1945362,22394,125.154658,125.63,True,True,600.0
2020-04-27,126.96,128.6,126.1,127.42,2202168,22565,127.549974,126.34,False,True,200.0
2020-04-28,128.46,128.7,122.85,123.0,3098374,37508,124.31783,128.07,True,False,1134.0
2020-04-29,124.27,126.98,123.01,125.55,2905278,28258,125.477403,124.31,False,True,626.0
2020-04-30,125.5,130.42,124.84,129.31,3075601,32416,128.984003,125.45,False,True,539.0
