date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume,atr
2020-01-21,247.68,249.29,246.5703,247.94,5447938,59104,248.089658,248.1327,True,False,494939.0,4.951635714285715
2020-01-22,249.76,253.59,249.0,250.05,5980976,76133,251.389227,251.2958,True,False,748993.0,4.959135714285714
2020-01-23,251.88,253.2,248.15,252.86,6113790,70146,251.400869,248.905,False,True,789409.0,4.990564285714285
2020-01-24,257.87,259.5,248.3,250.48,9337839,102729,253.077428,256.3,False,False,1255533.0,5.375564285714284
2020-01-27,239.0,242.25,232.23,240.2,11764241,127215,239.657581,239.29,True,True,1894144.0,6.250564285714284
2020-01-28,242.85,249.27,240.7143,247.97,7774401,80343,245.81404,241.94,False,True,827104.0,6.514135714285713
2020-01-29,247.28,248.84,243.94,245.54,6486300,70766,246.000805,248.5446,True,False,730104.0,6.586207142857142
2020-01-30,241.67,246.35,239.4,245.81,7262590,80282,243.154434,245.37,True,True,637372.0,6.68622857142857
2020-01-31,243.97,244.45,234.75,236.43,9260493,108600,238.103529,241.7,False,False,536138.0,7.08122857142857
2020-02-03,235.7,241.1111,235.45,240.33,6398205,73518,239.660472,238.4877,True,True,804508.0,6.866421428571426
2020-02-04,246.03,247.9,244.02,247.13,6788589,86750,246.211149,245.6034,False,True,841602.0,7.0335642857142835
2020-02-05,251.88,252.4,247.41,250.76,5205506,75462,250.100873,249.79,False,True,664110.0,7.112914285714284
2020-02-06,252.14,254.25,248.88,254.245,5457052,65484,252.26712,249.5,False,True,664533.0,7.239342857142857
2020-02-07,252.64,253.53,250.572,251.59,4743889,57215,251.945569,250.9,False,True,521860.0,7.313842857142857
2020-02-10,252.5,263.0,252.3,262.97,13242586,138958,259.584717,255.6959,True,True,1041441.0,7.934578571428572
2020-02-11,267.33,272.5,264.83,267.89,15964035,167143,269.204505,269.44,True,False,1903396.0,8.211721428571426
2020-02-12,270.0,272.8,268.4474,272.54,9366218,113756,271.122307,269.87,False,True,1414656.0,8.20172142857143
2020-02-13,270.21,273.48,269.11,270.78,13196702,160109,274.734649,270.62,True,True,1077064.0,7.713864285714288
2020-02-14,287.2,294.97,286.0,289.79,26048233,289384,290.182134,286.27,False,True,4586266.0,8.138150000000007
2020-02-18,285.55,297.31,284.86,296.57,15547077,164872,292.380142,288.7003,True,True,1649692.0,8.379578571428576
2020-02-19,301.49,315.41,301.4856,314.7,17358604,204302,310.325235,307.67,True,True,3470095.0,9.375292857142863
2020-02-20,312.65,316.32,296.35,308.7,20252275,216263,308.525204,310.94,False,False,1893610.0,10.305292857142861
2020-02-21,304.62,305.2,290.66,294.07,19232601,221333,296.405526,301.1728,False,False,2002721.0,10.803864285714287
2020-02-24,270.09,281.8723,268.0,273.28,21424740,284121,275.849088,278.35,True,False,3473661.0,12.261642857142858
